game_date,home_team,game_pk
2023-06-03,BOS,717885
2023-06-03,BOS,717918
2023-06-18,BOS,717715
2023-06-18,BOS,717730
2023-09-12,BOS,716612
2023-09-12,BOS,716628
2023-09-14,BOS,716593
2023-09-14,BOS,716597
2023-09-01,CIN,716770
2023-09-01,CIN,718700
2023-04-22,CLE,718473
2023-04-22,CLE,718488
2023-08-18,CLE,716956
2023-08-18,CLE,716959
2023-09-16,COL,716550
2023-09-16,COL,716581
2023-09-26,COL,716424
2023-09-26,COL,716438
2023-04-18,CWS,718525
2023-04-18,CWS,718543
2023-07-06,CWS,717468
2023-07-06,CWS,717480
2023-09-12,CWS,716611
2023-09-12,CWS,716631
2023-04-18,DET,718530
2023-04-18,DET,718541
2023-04-29,DET,718381
2023-04-29,DET,718401
2023-05-03,DET,718329
2023-05-03,DET,718348
2023-06-14,DET,717770
2023-06-14,DET,717784
2023-07-27,DET,717243
2023-07-27,DET,717247
2023-07-15,KC,717393
2023-07-15,KC,717411
2023-08-19,LAA,716915
2023-08-19,LAA,716925
2023-08-23,LAA,716890
2023-08-23,LAA,716903
2023-08-19,LAD,716909
2023-08-19,LAD,716926
2023-05-01,NYM,718352
2023-05-01,NYM,718361
2023-05-21,NYM,718082
2023-05-21,NYM,718099
2023-08-12,NYM,717021
2023-08-12,NYM,718371
2023-09-27,NYM,716411
2023-09-27,NYM,716430
2023-09-30,NYM,716376
2023-09-30,NYM,716393
2023-06-08,NYY,717848
2023-06-08,NYY,717857
2023-07-15,PHI,717397
2023-07-15,PHI,717408
2023-08-08,PHI,717082
2023-08-08,PHI,717096
2023-09-11,PHI,716590
2023-09-11,PHI,717664
2023-08-13,PIT,717015
2023-08-13,PIT,717027
2023-08-19,SD,716919
2023-08-19,SD,716931
2023-07-01,STL,717545
2023-07-01,STL,717550
2023-04-29,WSH,718383
2023-04-29,WSH,718399
2023-08-20,WSH,716929
2023-09-24,WSH,716459
2023-09-24,WSH,716467
